L,T,gamma,trapped_count,total_particles,efficiency,T_final_tilde,delta_T_tilde,absolute_delta_T_uK
517947.62,6142.8574,1.5625,2000,2000,1.0,0.052236356,0.002236355,0.22363551
517947.62,6785.715,1.5625,2000,2000,1.0,0.0507688,0.00076879933,0.076879926
517947.62,7428.572,1.5625,2000,2000,1.0,0.052303687,0.002303686,0.2303686
517947.62,8071.429,1.5625,2000,2000,1.0,0.051902667,0.001902666,0.1902666
517947.62,8714.286,1.5625,2000,2000,1.0,0.05334809,0.0033480898,0.33480895
517947.62,9357.144,1.5625,2000,2000,1.0,0.051063217,0.0010632165,0.10632164
517947.62,10000.0,1.5625,2000,2000,1.0,0.051309563,0.0013095625,0.13095623
719685.0,1000.0,1.5625,0,2000,0.0,nan,nan,nan
719685.0,1642.8572,1.5625,1225,2000,0.6125,0.08367015,0.033670146,3.3670144
719685.0,2285.7144,1.5625,2000,2000,1.0,0.08372579,0.033725787,3.3725786
719685.0,2928.5715,1.5625,2000,2000,1.0,0.06330778,0.013307776,1.3307776
719685.0,3571.4287,1.5625,2000,2000,1.0,0.05899741,0.008997411,0.89974105
719685.0,4214.286,1.5625,2000,2000,1.0,0.053728264,0.003728263,0.37282628
719685.0,4857.143,1.5625,2000,2000,1.0,0.052380264,0.002380263,0.2380263
719685.0,5500.0005,1.5625,2000,2000,1.0,0.051476777,0.0014767759,0.14767759
719685.0,6142.8574,1.5625,2000,2000,1.0,0.052751496,0.0027514957,0.27514958
719685.0,6785.715,1.5625,2000,2000,1.0,0.05269579,0.0026957877,0.26957878
719685.0,7428.572,1.5625,2000,2000,1.0,0.051613107,0.0016131066,0.16131066
719685.0,8071.429,1.5625,2000,2000,1.0,0.052398164,0.002398163,0.23981631
719685.0,8714.286,1.5625,2000,2000,1.0,0.050722323,0.0007223226,0.07223226
719685.0,9357.144,1.5625,2000,2000,1.0,0.051957995,0.001957994,0.19579938
719685.0,10000.0,1.5625,2000,2000,1.0,0.05291958,0.0029195808,0.29195806
1e+06,1000.0,1.5625,0,2000,0.0,nan,nan,nan
1e+06,1642.8572,1.5625,9,2000,0.0045000003,0.00699989,-0.04300011,-4.3000107
1e+06,2285.7144,1.5625,1963,2000,0.9815,0.098907724,0.048907723,4.8907723
1e+06,2928.5715,1.5625,2000,2000,1.0,0.07429359,0.02429359,2.429359
1e+06,3571.4287,1.5625,2000,2000,1.0,0.06295523,0.01295523,1.2955229
1e+06,4214.286,1.5625,2000,2000,1.0,0.058632333,0.008632332,0.8632332
1e+06,4857.143,1.5625,2000,2000,1.0,0.057459824,0.007459823,0.7459823
1e+06,5500.0005,1.5625,2000,2000,1.0,0.05380379,0.0038037896,0.38037896
1e+06,6142.8574,1.5625,2000,2000,1.0,0.054056335,0.0040563345,0.40563345
1e+06,6785.715,1.5625,2000,2000,1.0,0.055151977,0.005151976,0.5151976
1e+06,7428.572,1.5625,2000,2000,1.0,0.052305575,0.0023055747,0.23055746
1e+06,8071.429,1.5625,2000,2000,1.0,0.053812064,0.0038120635,0.38120633
1e+06,8714.286,1.5625,2000,2000,1.0,0.051884893,0.0018848926,0.18848926
1e+06,9357.144,1.5625,2000,2000,1.0,0.05254014,0.0025401376,0.25401375
1e+06,10000.0,1.5625,2000,2000,1.0,0.051950272,0.0019502714,0.19502714
1.3894952e+06,1000.0,1.5625,0,2000,0.0,nan,nan,nan
1.3894952e+06,1642.8572,1.5625,0,2000,0.0,nan,nan,nan
1.3894952e+06,2285.7144,1.5625,1239,2000,0.61950004,0.084311165,0.034311164,3.4311163
1.3894952e+06,2928.5715,1.5625,1997,2000,0.99850005,0.08811838,0.03811838,3.8118382
1.3894952e+06,3571.4287,1.5625,2000,2000,1.0,0.06968329,0.01968329,1.9683288
1.3894952e+06,4214.286,1.5625,2000,2000,1.0,0.06149264,0.01149264,1.149264
1.3894952e+06,4857.143,1.5625,2000,2000,1.0,0.057465225,0.0074652247,0.7465225
1.3894952e+06,5500.0005,1.5625,2000,2000,1.0,0.05829657,0.008296568,0.8296568
1.3894952e+06,6142.8574,1.5625,2000,2000,1.0,0.052159257,0.0021592565,0.21592563
1.3894952e+06,6785.715,1.5625,2000,2000,1.0,0.05245688,0.002456881,0.24568811
1.3894952e+06,7428.572,1.5625,2000,2000,1.0,0.051692855,0.0016928539,0.16928539
1.3894952e+06,8071.429,1.5625,2000,2000,1.0,0.053800642,0.0038006417,0.38006416
